Nome do Objeto,Modelo,Responsável pela Pesquisa,Tipo do Objeto,Descrição do Objeto,Função/Uso,Ano de Fabricação/Época,Foi importado para o Memória Virtual?,Fabricante,Local de Fabricação/Origem,Estado do Objeto,Localização atual,Situação do Cadastro,É patrimoniável ?,Foi importado para o Memória Virtual?,Número de Patrimônio,Passou pelo CTA,Imagens do Objeto
,"Amélia PC","Grupo 4 - BSI",Impressoras," Essa é uma impressora matricial de 132 colunas com velocidade de 250CPS. Um produto notável e muito robusto. Era um produto com chassis injetado em alumínio dentro da própria ELGIN. Essa máquina, por ser matricial, era dotada de uma cabeça de impressão de agulhas. Eram nove agulhas e ela era capaz de imprimir em vários níveis de qualidade. Draft era a forma mais rápida e simples de imprimir. Eram caracteres com definição menor e mais usado em documentos comerciais comuns, no entanto a AMÉLIA imprimia em NLQ, que eram caracteres de qualidade carta. ","Impressora matricial. A Cabeça fazia duas passagens no papel e “montava” os caracteres de forma que ficavam bem preenchidos pelas agulhas e as letras ficavam bonitas e elegantes nos documentos mais elaborados. Também era possível se configurar atributos para os caracteres, tais como: itálico, bold (negrito), underline e outros. A AMÉLIA usava fita de impressão, que era uma cinta de tecido impregnada com tinta especial que ficava dentro de uma espécie de cassete que era instalado na impressora. Essa cinta girava automaticamente durante a impressão e rendia bastante para o usuário.",1987,,Elgin,"Brasil - 1987",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/6/69321_ca_attribute_values_value_blob_2626_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/41351_ca_attribute_values_value_blob_2627_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/90578_ca_attribute_values_value_blob_2628_large.jpg' width='700' height='308' />"
,Dismac 8001,"Grupo 8 BSI - Eduardo Eity Furuta / Joel Felipe Coelho / Moniely Silva Barboza / Pedro Santos Souza / Ryan Souza Sá Teles",Computadores,"Pertencente a família do Dismac 8000, o Dismac 8001 foi um computador produzido no Brasil nos anos 80. A diferença entre os dois micros é que o modelo D-8001 era composto pelo D8000, acrescido de uma unidade impressora. O Dismac 8000 tinha como base o computador TRS-80 dos EUA. Especificações técnicas: Processador: Zilog Z80A (2,0 MHz) Memória: 16 KiB Sistema Operativo: BASIC Level II Curiosidades: Em seu teclado, o Dismac 8001 contava com 4 novas teclas (F1 a F4) que até o momento não tinham nenhuma função implementada. Na época, a fabricante informou que tais teclas foram introduzidas no equipamento, entretanto ainda não tinham tido tempo suficiente para desenvolver uma utilização específica. Segundo a Dismac, encontrava-se em estudos a possibilidade de gravação de programas em EPROM que poderiam ser acessados por essas teclas, o que foi disponibilizado posteriormente para Macros.","O Dismac 8001 era um computador de uso doméstico (home computer) que poderia ser utilizado tanto para uso pessoal, quanto para pequenas e médias empresas, tento diferentes aplicações administrativas, comerciais e científicas, contudo, sempre respeitando sua capacidade de memória.",1982,,Dismac,Brasil,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/7/91352_ca_attribute_values_value_blob_2707_large.jpg' width='700' height='393' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/7/7521_ca_attribute_values_value_blob_2708_large.jpg' width='700' height='393' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/7/38999_ca_attribute_values_value_blob_2709_large.jpg' width='700' height='1064' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/0/64506_ca_attribute_values_value_blob_3013_large.jpg' width='700' height='350' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/0/434_ca_attribute_values_value_blob_3014_large.jpg' width='700' height='490' />"
,"CX-8105","Grupo 8 BSI - Eduardo Eity Furuta / Joel Felipe Coelho / Moniely Silva Barboza / Pedro Santos Souza / Ryan Souza Sá Teles",Calculadoras,"Calculadora com 8 dígitos de precisão, 7 funções e 22 teclas. Funciona com 4 pilhas AA. Dimensões: 162 mm de comprimento 88 mm de largura 40 mm de espessura","Era utilizada para cálculos aritméticos como soma, subtração, divisão, multiplicação e raiz quadrada.",1975,,Sanyo,"Japão",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/5/7691_ca_attribute_values_value_blob_1536_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/28547_ca_attribute_values_value_blob_1851_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/29823_ca_attribute_values_value_blob_1852_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/23109_ca_attribute_values_value_blob_1853_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/95126_ca_attribute_values_value_blob_1854_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/96044_ca_attribute_values_value_blob_1855_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/13540_ca_attribute_values_value_blob_1856_large.jpg' width='700' height='933' />"
,Presario 5220,"Pedro Rossi Silva Rodrigues, Raphael David Philippe Leveque, Samuel Figueiredo Veronez, Vítor Amorim Fróis",Computadores,"O computador Compaq Presario 5520 é um computador pessoal (PC) com ótimas configurações por um preço, à época, acessível. Ele vem com um processador AMD K6-2 380MHz, um armazenamento 8GB e sistema operacional Windows 98, além de uma placa de vídeo ATI 3D Rage LT Pro 4 MB SGRAM 8 MB. O monitor é embutido no gabinete (All-in-One).","Através do Windows 98 instalado na máquina é possível acessar a internet, escrever textos, criar desenhos com o Paint e jogar games simples, como ""Solitarie"" e ""Mine Sweeper""",1998,"Não",Presario,Estados Unidos,Funcionando,,Finalizado,,"Não",,,"<img src='http://143.107.183.188/media/collectiveaccess/images/3/5/88740_ca_attribute_values_value_blob_3531_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/94067_ca_attribute_values_value_blob_3533_large.jpg' width='700' height='525' />"
,Toshiba BC1215,"Pedro Rossi Silva Rodrigues, Raphael David Philippe Leveque, Samuel Figueiredo Veronez, Vítor Amorim Fróis",Calculadoras,"Esse modelo, criado em 1971 no Japão, utiliza um LSI (2 chips) que foi desenvolvido pela própria empresa, e conta com um display de tubo VFD (vaccum fluorescent display - display fluorescente a vácuo), com 12+1 dígitos. A Toshiba foi pioneira no mercado de calculadoras. No entanto, à época eles optaram pela produção de modelos similares, com poucas mudanças entre eles, o que os deixou para trás em relação à concorrência (como Sharp e Cássio). Peso: 1000g Dimensões: 227x154x54mm","Realizar operações matemáticas",1971,,Toshiba,"Japão",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/4/8740_ca_attribute_values_value_blob_1464_large.jpg' width='700' height='206' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/4/70304_ca_attribute_values_value_blob_1465_large.jpg' width='700' height='1010' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/4/31907_ca_attribute_values_value_blob_1466_large.jpg' width='700' height='583' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/4/38517_ca_attribute_values_value_blob_1467_large.jpg' width='700' height='834' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/33807_ca_attribute_values_value_blob_3529_large.jpg' width='700' height='623' />"
,"A-11","grupo 17 BCC: Abimael Alves de Oliveira Neto, João Gabriel Sasseron Roberto Amorim, Pedro Henrique, Thaís Ribeiro Lauriano",Computadores,"A Cassiopeia é um computador portátil do tipo palmtop e Assistente Pessoal Digital (PDA¹) de dimensões 175 mm x 92 mm x 26.5 mm e peso de 380g. Seu processador é o Hitachi SH3, com frequência de 40MHz, e seu sistema operacional é o Windows CE 1.0. Possui uma capacidade de 4MB de RAM e 4MB de ROM, e a forma de armazenamento são cartões flash, que podem ser inseridos na entrada PCMCIA² situada no seu lado direito, junto com uma entrada para conectar aparelhos externos. No lado esquerdo da máquina, há um conector para um cabo de dados, um regulador de contraste e uma janela de transceptor IR. Também apresenta um display LCD³ monocromático de resolução 480x240 pixels, teclado QWERTY e tela touchscreen que funciona com uma caneta, que acompanha o objeto e mede 11,5 cm de comprimento. Além disso, a máquina possui speaker e microfone e pode ser alimentada por duas pilhas do tipo AA ou por uma fonte de 50/60Hz e 120/230V. ____________________________________________ ¹Personal Digital Assistant ²Personal Computer Memory Card International Association. Traduzido como Associação Internacional de Cartões de Memória para Computadores Pessoais. ³Liquid Crystal Display. Traduzido como Tela de Cristal Líquido.","A Cassiopeia A-11 funciona como microcomputador e PDA (Assistente Pessoal Digital), e apresenta o editor de texto Pocket Word, bem como o Pocket Excel. Apresenta agenda virtual com calendário, além de relógio mundial e calculadora. Também é possível jogar jogos como Paciência.",1996,,Casio,"Japão",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/5/74723_ca_attribute_values_value_blob_2502_large.jpg' width='700' height='631' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/81991_ca_attribute_values_value_blob_3512_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/9805_ca_attribute_values_value_blob_3513_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/41496_ca_attribute_values_value_blob_3514_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/26940_ca_attribute_values_value_blob_3515_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/39000_ca_attribute_values_value_blob_3516_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/90719_ca_attribute_values_value_blob_3517_large.jpg' width='700' height='525' />"
,"Macintosh 512K - M0001W","Grupo 18 - Kenzo Nobre, Antônio Medrado, Lucas Sant'Anna e Lucas Viana",Computadores,"O computador possui memória de 512KB de DRAM, Unidade Central de Processamento composto pelo microprocessador Motorola 6800 com velocidade de 8Mhz, potência de 60W, pesa aproximadamente 7.5kg com dimensões 34.5 cm x 24.4 cm x 27.6 cm e comporta o software de sistema da Macintosh da versão 1.0 até a versão 4.1. Contém teclado, mouse e um leitor de disquete como acessórios.","Computador pessoal cuja principal função era auxiliar as pessoas no cotidiano, como ajudar a guardar arquivos, desenhar, escrever, entre outras utilidades.",10 de Setembro de 1984,,Apple Inc.,Estados Unidos,,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/7/3820_ca_attribute_values_value_blob_1744_large.jpg' width='700' height='692' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/18807_ca_attribute_values_value_blob_3550_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/45939_ca_attribute_values_value_blob_3552_large.jpg' width='700' height='340' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/29744_ca_attribute_values_value_blob_3553_large.jpg' width='700' height='1052' />"
,239,"Grupo 4 - BSI",Calculadoras,"Calculadora de 10 dígitos, 8 contadores e 13 acumuladores, pesa 6.2 kg e suas dimensões são 185L x 170C x 135A em mm.","Calculadora mecânica que pode somar, subtrair, fazer multiplicações longas e divisões.",1960,,"Original-Odhner","Göteborg, Suíça 1960",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/6/35084_ca_attribute_values_value_blob_2613_large.jpg' width='700' height='467' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/7463_ca_attribute_values_value_blob_2614_large.jpg' width='700' height='502' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/10180_ca_attribute_values_value_blob_2615_large.jpg' width='700' height='390' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/91382_ca_attribute_values_value_blob_2616_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/42891_ca_attribute_values_value_blob_2617_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/53353_ca_attribute_values_value_blob_2618_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/85632_ca_attribute_values_value_blob_2619_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/85202_ca_attribute_values_value_blob_2620_large.jpg' width='700' height='394' />"
,Macintosh IIci,"(Grupo 25 BCC)Otávio Ferracioli Coletti/Vitor da Silveira Paula/João Pedro Duarte Nunes/João Victor Dionizio de Oliveira Santos/Gustavo Wadas Lopes",Computadores,"O Macintosh IIci foi lançado dia 20 de setembro de 1989. Tinha como CPU o Motorola 68030. Como fazia parte da família Macintosh era modular, com monitor e periféricos externos ao gabinete. Possuía arquitetura aberta, ou seja, permitia melhorias em seu hardware com peças de outras empresas.Foi descontinuado em 1993 em razão de outro Macintosh com um hardware melhor. Preço:US$6,269 CPU: Motorola 68030 @ 25 MHz Memória: 1 MB ou 4 MB expansível até 128 MB Altura: 14cm Largura: 30cm Profundidade: 37 cm Massa: 6.2 kg","Computador pessoal. Objetivava atingir mercados domésticos, empresariais e universitário. Projetado para ser amigável ao usuário comum com pouca familiaridade com computadores. Possuía tela com cores e interface intuitiva.",1989,,Apple Computers,"Cupertino, Condado de Santa Clara, Califórnia, Estados Unidos",,,Finalizado,"Não",,,"Não","<img src='http://143.107.183.188/media/collectiveaccess/images/1/4/73144_ca_attribute_values_value_blob_1494_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/4/27206_ca_attribute_values_value_blob_1496_large.jpg' width='700' height='717' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/4/52487_ca_attribute_values_value_blob_1497_large.jpg' width='700' height='469' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/4/55677_ca_attribute_values_value_blob_1498_large.jpg' width='700' height='576' />"
,AP II ,"Joao Paulo Garcia/Lucas Neuhaus (grupo 22)",Computadores,"O microcomputador é composto de: gabinete de plastico com teclado mecanico integrado; microprocessador 6502 com 8 bits de dados e 16 bits para endereçamento, com clock de 1MHz; memoria ROM de 12Kbytes; memoria RAM de 16Kbytes a 48 endereçaveis; placa mae de 8 soquetes com possibilidade de expanção; monitor a cores; alto falante interno; sistema baseado em disquetes.","Por possuir um sistema e estrutura similar ao Apple 2, era um computador de uso pessoal e de facil transportacao (devido ao gabinete integrado), sua estrutura simples e intuitiva deixava o seu uso facilitado. Por utilizar o sistema DOS 3.3 (De propriedade da Apple), era possivel utilizar a linguagem de programacao BASIC, alem de Assembly 6502, Fortran, PL/I, Pascal, Algol, Lisp, Cobol, RPG, Pilot, Logo, Prolog, C, entre outras. Possuia diversos aplicativos disponiveis, em varias areas, como banco de dados, processamento de texto, planilha eletrônica, elaboração de gráficos, controle de processos, aplicacoes domesticas, jogos e outras mais. ",1982,,Unitron,Brasil,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/1/22731_ca_attribute_values_value_blob_1107_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/1/77017_ca_attribute_values_value_blob_1108_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/1/2808_ca_attribute_values_value_blob_1109_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/1/19915_ca_attribute_values_value_blob_1110_large.jpg' width='700' height='525' />"
,Solution 16,Grupo 17 de Luiz G. Ferreira 10276762 e Mateus Trevisan 11821282,Computadores,"O Solution 16 foi um computador all-in-one brasileiro de 16 bits, lançado em 1986 pela CP - Computadores Pessoais da Prológica.  O computador era produzido em São Paulo e tinha como principal característica o fato de ser considerado um computador portátil, por ser considerado leve e pequeno para os padrões da época. Especificações Técnicas - Processador Intel 8088 de 16 bits com 4,77 MHz de Clock. - Memória RAM de 256 kB,  podendo ser aampliada para 512 kB. - Memória ROM de 16 kB. - Teclado de 89 teclas de funções e especiais com microcontrolador Intel 8039. - Auto-falante de 2 polegadas e 8 ohms. - Armazenamento com 2 unidades de disco flexível de dupla densidade e dupla face com 360 kB. - Fonte de 150 W com entrada 100~130 V. - Vídeo monocromático RGBI com modos texto e gráfico e monitor de 12"". - 2 opções de resolução: média 320 x 200; e alta 640 x 200 (apenas branco e preto). - Sistema operacional próprio,  o SO16,  totalmente em português. ","Computador pessoal all-in-one lançado pela Prológica em 1986, o Solution 16 foi o primeiro computador de 16 bits com hardware integrado lançado no mercado brasileiro.  O Solution 16 era um computador menor e mais leve do que os outros da sua época.  O computador tinha 450 mm de comprimento, 275 de altura e 375 de profundidade, dimensões que o faziam ser considerado compacto. E apesar dos 16,5 kg, tinha uma alça e um modo de integrar o teclado ao corpo do computador para facilitar o a locomoção, sendo assim anunciado como um computador transportável.  O Solution 16 tinha um monitor monocromático verde de 12”, auto-falantes embutidos e teclado com acentuação e cedilha, itens que eram considerados novidades nos computadores contemporâneos ao Solution 16. Para o computador a Prológica desenvolveu um sistema operacional próprio, o SO16, que era basicamente uma versão em português do MS-DOS 2.11, da Microsoft. ",1986,,"Prológica",Brasil,,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/3/54508_ca_attribute_values_value_blob_1364_large.jpg' width='700' height='501' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/3/92032_ca_attribute_values_value_blob_1365_large.jpg' width='700' height='392' />"
,O2,Grupo 15,Computadores,"Computador Workstation SGI O2. Possuí sistema nativo IRIX, uma variação do UNIX criada pela Silicon Graphics que foi descontinuada com o passar dos anos, além de uma arquitetura de microprocessador MIPS.   Especificações completas: CPU: MIPS 180 ou 300mhz Memória: 8 Slots DIMM proprietários, até 1GB, 128bit ECC (Controlado por um ASIC) Disco: Variável: 2 Slots SCSI UltraWide Gráficos: Chip proprietário da SGI","Estação de trabalho com foco em multimídia. Possuí Arquitetura unificada de memória, e dessa forma não precisa de memória específica para funções gráficas, sempre usando a própria memória principal para isso. Além disso, para realizar suas funções gráficas, esse computador possuí uma implementação do OpenGL 1.1 em seu sistema nativo (IRIX), criada apenas para esse sistema, além de diversos outros sistemas e circuitos internos específicos dessa máquina, criados para melhor desempenho de imagens e áudio. Possuí um monitor de tela plana que acompanha um colorímetro de calibração. A interface do HDD era SCSI e ela tem um módulo de engate rápido. Por fim, possuí módulo de IO com conexões no padrão RCA (Video composto).",1996,,Silicon Graphics Incorporated,"Sunnyvale, California, Estados Unidos",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/2/99022_ca_attribute_values_value_blob_1222_large.jpg' width='700' height='879' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/82040_ca_attribute_values_value_blob_1223_large.jpg' width='700' height='467' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/50575_ca_attribute_values_value_blob_1224_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/4682_ca_attribute_values_value_blob_1225_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/90_ca_attribute_values_value_blob_1226_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/5651_ca_attribute_values_value_blob_1227_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/75455_ca_attribute_values_value_blob_1228_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/65317_ca_attribute_values_value_blob_1229_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/25070_ca_attribute_values_value_blob_1230_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/75647_ca_attribute_values_value_blob_1231_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/71142_ca_attribute_values_value_blob_1232_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/49304_ca_attribute_values_value_blob_1233_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/28486_ca_attribute_values_value_blob_1234_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/3/23456_ca_attribute_values_value_blob_1337_large.jpg' width='700' height='448' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/3/96697_ca_attribute_values_value_blob_1338_large.jpg' width='700' height='525' />"
,TK 85,"Grupo 21 - André Teizen & Vinicius Baca",Computadores,"Todo o sistema (CPU, memória, teclado, etc) se aloja em uma caixa de plástico negro de 23,5cm X 14,3cm X 4cm, pesando 500g. Usa uma fonte de alimentação externa ligada à rede elétrica normal. A corrente de alimentação (110 ou 200 V CA) é convertida em 10V CC. O programa monitor (sistema operacional) e o interpretador BASIC estão pré-gravados em uma ROM de 10Kbytes. Todos os componentes eletrônicos do TK85 são montados em uma única placa de circuito impresso. Na parte posterior da caixa existem vários conectores, três do tipo “jaque”. O primeiro (DC) serve para conectar a fonte de alimentação. Os dois jaques restantes (MIC e EAR), para microfone e fones de ouvido, respectivamente, são utilizados para conectar-se o computador a um gravador cassete comum. Outro conector é do tipo coaxial (vídeo) e serve para ligar o micro à entrada de antena externa de um receptor de TV convencional. Existe também uma tomada fêmea tipo DIN, para conexão a um joystick e um conector especial de múltiplos contatos (expansão), que dá acesso a todos os sinais do microprocessador (barramento interno) ao qual se pode ligar uma ampla gama de extensões e periféricos. O TK85 usava gravador de fita cassete como memória auxiliar. As funções mecânicas precisam ser controladas manualmente, pois o gravador não dispõe de conexão para acionamento do motor (REMOTE). Dispõe de duas velocidades de gravação e leitura: a normal, de 300 bauds e a alta, de 4.200 bauds (que exige o emprego de gravadores de boa qualidade e fitas de baixo ruído). O TK85 tinha como periféricos um joystick, gravador cassete, gerador de sons, permitindo a gravação de três canais de som, impressora (TK Printer) de 32 colunas, velocidade de 45 cps e pesando apenas 300gr, utilizava papel térmico especial, em rolo. Outros periféricos e interfaces podiam ser ligados através do barramento próprio. O software era composto pelo programa monitor, em extenso interpretador BASIC científico, ambos gravados em ROM de 10 Kbytes. O BASIC tinha 46 comandos e 37 funções matemáticas e de manuseio de cadeia de caracteres, edição de programas, etc. A programação em linguagem de máquina era possível diretamente do BASIC, ou por programas montadores (Assembler Z80). Havia grande número de programas aplicativos oferecidos (gravados em cassetes) nas áreas de entretenimento e lazer, educação, financeira e administrativa, profissional, etc. TECLADO: O teclado do TK85 é do tipo QWERTY, incorporado à própria caixa do sistema e é do tipo mecânico simplificado, ou seja, teclas móveis pequenas (de borracha), multifuncionais. O teclado é bastante compacto, comandando até 160 funções e caracteres com apenas 40 teclas. Isso é conseguido atribuindo-se várias funções (até cinco) a uma mesma tecla. A alternância entre funções é realizada pressionando-se as teclas SHIFT, FUNCTION ou GRAPHIC, ou automaticamente, conforme o que se esteja digitando. Uma particularidade interessante do TK85 e todos aqueles compatíveis com o ZX80, ZX81 e ZX-Spectrun, inglês, é que não se faz necessário digitar letra por letra o nome completo de comandos, instruções e funções da linguagem BASIC. Ao se pressionar uma tecla, o nome da instrução a ela associado é transmitido por extenso ao micro e à tela. VÍDEO: O TK85 utiliza como vídeo um aparelho de TV doméstico preto e branco ou em cores (embora a imagem seja sempre monocromática), que é ligado ao micro por um cabo blindado coaxial. A conexão é feita através da antena externa, devendo ser sintonizado no canal 2 de VHF.","Eram computadores pessoais de pequeno porte, ideais para iniciantes em computação, para uso doméstico, profissional leve ou educativo. Era um equipamento compatível em hardware e software com o micro inglês ZX81, da Sinclair.",1983,,"Microdigital Eletrônica Ltda",Brasil,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/2/91899_ca_attribute_values_value_blob_1251_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/53428_ca_attribute_values_value_blob_1252_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/2/1150_ca_attribute_values_value_blob_1253_large.jpg' width='700' height='933' />"
,PPC 640,"Grupo 11 - Danilo Marques Araújo dos Santos e Guilherme Cremasco Gulmini",Computadores,"O Amstrad PPC 640 (Portable PC 640) possui um processador NEC V30 16 bits que ciona a 8 MHz, 640 kB de memória RAM, 16 kB de memória ROM e armazenamento em um ou dois disquetes 3.5"" de 720 kB. É composto por uma tela LCD monocromática de 6 polegadas, um teclado QWERTY completo de 102 teclas e um modem integrado. O PPC 640, quando está fechado, possui 45 cm de comprimento, 23 cm de largura e 10 cm de altura, além de pesar 5,4 kg (sem pilhas). Ele funciona com 10 pilhas do tipo C de 1,5 V ou através do cabo de alimentação ou pelo acendedor automotivo de cigarros.","Com o Amstrad PPC 640 é possível: - Editar, visualizar e armazenar arquivos - Acessar e-mails e a Internet (o PPC 640 possui uma entrada para modem) - Jogar (os jogos são armazenados em disquetes) - Programar - Usá-lo como calculadora - Usá-lo como calendário - Usá-lo como discador de telefone",1988,,Amstrad Electronics plc.,Reino Unido,,,Em Progresso,,,,,
,Apple IIc,"HakunaCOMP (Grupo 3)",Computadores,"O Apple IIc é o quarto modelo da série de computadores Apple II, tornando-se o primeiro computador compacto (por isso o ""c"" no nome do modelo) e portátil da Apple. Ele é facilmente transportável, possui o sistema Apple II completo (similar aos modelos anteriores da série), além de um drive de disquete embutido e portas de expansão para periféricos; também tem um sistema fechado, no qual a parte de trás não possui lots de expansão internos e nem acesso direto à placa-mãe, devido a portabilidade.","O Apple IIc era conhecido principalmente pelo seu uso pessoal e portátil; possui características mais óbvias, facilitando a manipulação dos usuários. Nele era possível usar a linguagem de programação "" Basic"" (linguagem de programação, criada com fins didáticos). Em termos de vídeo utiliza o MouseText, conjunto de 32 caracteres gráficos que quando colocados lado a lado, permitia a exibição de ícones simples, janela e menus, tornando possível a exibição de uma interface de usuário de texto que se assemelha a uma interface gráfica do usuário do Macintosh. Além disso, também rodava jogos e um dos programas mais populares da Apple, o Visual Calc, ancestral dos programas de planilhas atuais.",1984,,"Apple Computer, Inc.","Cupertino - Califórnia - EUA",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/4/40969_ca_attribute_values_value_blob_1404_large.jpg' width='700' height='525' />"
,,Grupo 12,Consoles de jogo,"Um console de videogame com uma carcaça feita de plástico, que possui um painel com 4 botões: um que alterna entre TREINO e JOGO, outro entre LIGA e DESLIGA, um de REINÍCIO e mais um para selecionar 1 jogo dentre os 3 disponíveis. Transmite imagens apenas em preto e branco e possui 3 jogos do tipo Pong: Paredão, Tênis e Futebol. Possui 2 controles com fio, com um ""dial"" em cada (espécie de ""roda"" que fica acoplada) que realiza todas as funções dentro do jogo. ","É usado para que 2 pessoas possam jogar, sendo uma contra a outra, com o fim de trazer diversão e entretenimento para todos os que jogavam e assistiam.",1977,,Superkit,Brasil,,,Em Progresso,,,,,
,8120,Grupo1,Impressoras,"A impressora Digilab 8120 é um equipamento desenvolvido para superminis e computadores médios e pequenos. É formada por gabinete com tampa frontal, caixa de saída de papel acústico, saída de formulário, tampa do atuador e mecanismos de controle do operador. Apresenta velocidade de impressão de 1200 LPM, usa bandas de impressão e imprime formulários contínuos de até 6 vias (incluindo a cópia original).","Impressão de documentos em geral em papel sulfite e/ou carbono, desenvolvida principalmente para estar conectada em computadores de pequeno e médio porte. ",1985,,"DIGILAB Laboratório Digital ","São Paulo/SP",,,Em Progresso,,,,,"<img src='/support/icons/documentIcon32.jpg' width='32' height='32' />"
